City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,ghanzi,-21.5667,21.7833,19.26,20,0,5.29,BW,1697492941
316,siwa oasis,29.2041,25.5195,23.41,38,0,2.76,EG,1697492941
317,san antonio de pale,-1.4014,5.6325,25.48,82,97,5.53,GQ,1697492941
318,alofi,-19.0595,-169.9187,24.94,65,75,9.77,NU,1697492942
319,puerto baquerizo moreno,-0.9,-89.6,27.55,65,75,5.14,EC,1697492651
320,kerikeri,-35.2268,173.9474,18.28,89,21,0.89,NZ,1697492942
321,murun-kuren,49.6342,100.1625,-1.56,73,4,2.45,MN,1697492942
322,samus',56.7475,84.6992,6.88,84,100,4.56,RU,1697492942
323,ambodifotatra,-16.9833,49.85,24.8,85,81,5.42,MG,1697492943
324,lepsy,46.235,78.9456,7.94,59,3,5.28,KZ,1697492943
325,novodvinsk,64.4165,40.8122,3.77,78,89,4.56,RU,1697492943
326,richards bay,-28.783,32.0377,18.53,94,100,0.52,ZA,1697492943
327,kuala terengganu,5.3302,103.1408,25.97,94,20,1.03,MY,1697492944
328,pasni,25.2631,63.471,25.85,85,1,4.5,PK,1697492944
329,brigantine,39.4101,-74.3646,16.12,71,0,5.14,US,1697492924
330,mahina,-17.5065,-149.489,29.87,62,20,3.09,PF,1697492944
331,georgetown,5.4112,100.3354,26.96,89,20,1.54,MY,1697492835
332,rexburg,43.826,-111.7897,21.99,29,0,1.54,US,1697492945
333,cedeira,43.6797,-8.0209,19.66,83,88,3.56,ES,1697492945
334,mount isa,-20.7333,139.5,22.87,27,4,9.26,AU,1697492945
335,laguna,38.421,-121.4238,29.13,38,0,2.06,US,1697492945
336,buala,-8.145,159.5921,28.14,75,99,1.13,SB,1697492945
337,north platte,41.1239,-100.7654,21.73,34,0,3.13,US,1697492946
338,zouerate,22.7187,-12.4521,30.01,25,84,3.29,MR,1697492946
339,springfield,37.2153,-93.2982,16.73,57,0,5.81,US,1697492703
340,ostersund,63.1792,14.6357,2.25,93,71,2.06,SE,1697492946
341,cabedelo,-6.9811,-34.8339,25.37,76,24,6.28,BR,1697492946
342,abra pampa,-22.7205,-65.697,18.45,32,91,5.76,AR,1697492946
343,coahuayana de hidalgo,18.7,-103.6583,29.31,80,66,2.12,MX,1697492947
344,fedorovskiy,45.0972,40.9517,11.07,84,100,9.39,RU,1697492947
345,kichmengskiy gorodok,59.9816,45.7854,7.75,80,100,4.47,RU,1697492947
346,araguaina,-7.1911,-48.2072,33.03,28,95,1.9,BR,1697492796
347,namsos,64.4662,11.4957,4.03,87,100,4.12,NO,1697492947
348,debre birhan,9.6833,39.5333,9.72,68,100,2.39,ET,1697492948
349,kyaka,-1.2522,31.4203,17.53,97,100,1.17,TZ,1697492948
350,kerema,-7.9631,145.7785,25.94,84,95,0.57,PG,1697492948
351,taksimo,56.3444,114.8794,0.95,82,100,0.89,RU,1697492948
352,lashio,22.9333,97.75,15.18,98,41,0.67,MM,1697492948
353,saudarkrokur,65.7461,-19.6394,2.24,90,100,0.47,IS,1697492949
354,bonthe,7.5264,-12.505,25.28,88,84,2.19,SL,1697492949
355,santa ana,33.7456,-117.8678,37.45,50,20,3.6,US,1697492842
356,severo-yeniseyskiy,60.3725,93.0408,0.88,90,100,4.02,RU,1697492949
357,lapa,-25.7697,-49.7158,19.16,94,100,1.19,BR,1697492949
